variant,breakdown,group,all_target_papers_at_10,all_target_papers_at_5,answerable_query_count,api_request_count,block_hit_at_1,block_hit_at_5,block_recall_at_10,block_recall_at_5,evidence_mrr,evidence_recall_at_10,evidence_recall_at_5,failure_count,fallback_count,max_top_score,mean_ms,mean_top_score,mrr,ndcg_at_10,nonempty_rate,note,p50_ms,p95_ms,post_rerank_recall_at_10,pre_rerank_recall_at_10,query_count,returned_results_count,status,target_paper_coverage_at_10,target_paper_coverage_at_5
no_rerank,scope,paper,,,,,0.152174,0.391304,0.306522,0.232246,,,,,,,,,0.244833,0.157659,,,,,,,46,,COMPUTED,,
no_rerank,scope,multi_paper,1.0,1.0,,,,,,,0.666667,0.6,0.5,,,,,,,,,,,,,,2,,COMPUTED,1.0,1.0
no_rerank,scope,unanswerable,,,,,,,,,,,,,,0.032522,,0.032138,,,1.0,Descriptive only; retrieval cannot determine answerability without a calibrated QA threshold.,,,,,2,2,,,
no_rerank,latency,retrieval,,,,,,,,,,,,,,,463.522,,,,,,402.985,699.26,,,,,,,
no_rerank,latency,rerank,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,
no_rerank,latency,total,,,,,,,,,,,,,,,463.522,,,,,,402.985,699.26,,,,,,,
no_rerank,operations,counts,,,,0,,,,,,,,0,0,,,,,,,,,,0.306522,0.306522,,,,,
no_rerank,category,algorithm_steps,,,5,,0.2,0.6,0.5,0.3,,,,,,,,,0.333333,0.266059,,,,,,,5,,COMPUTED,,
no_rerank,category,experiment_results,,,4,,0.0,0.0,0.041667,0.0,,,,,,,,,0.035714,0.025217,,,,,,,4,,COMPUTED,,
no_rerank,category,experiment_setup,,,5,,0.2,0.8,0.606667,0.506667,,,,,,,,,0.398333,0.212559,,,,,,,5,,COMPUTED,,
no_rerank,category,limitations,,,7,,0.428571,0.714286,0.571429,0.52381,,,,,,,,,0.55,0.341801,,,,,,,7,,COMPUTED,,
no_rerank,category,method,,,5,,0.0,0.4,0.18,0.18,,,,,,,,,0.166667,0.122215,,,,,,,5,,COMPUTED,,
no_rerank,category,multi_paper_comparison,,,2,,0.5,1.0,0.6,0.5,,,,,,,,,0.666667,0.305419,,,,,,,2,,COMPUTED,,
no_rerank,category,paper_contributions,,,10,,0.1,0.1,0.1,0.075,,,,,,,,,0.116667,0.052944,,,,,,,10,,COMPUTED,,
no_rerank,category,research_background,,,10,,0.1,0.3,0.25,0.133333,,,,,,,,,0.161111,0.122523,,,,,,,10,,COMPUTED,,
no_rerank,category,unanswerable,,,0,,,,,,,,,,,,,,,,,,,,,,0,,NOT_APPLICABLE,,
no_rerank,difficulty,easy,,,18,,0.055556,0.277778,0.163889,0.099074,,,,,,,,,0.15022,0.117805,,,,,,,18,,COMPUTED,,
no_rerank,difficulty,hard,,,24,,0.25,0.541667,0.445139,0.370833,,,,,,,,,0.360069,0.204338,,,,,,,24,,COMPUTED,,
no_rerank,difficulty,medium,,,6,,0.166667,0.333333,0.277778,0.166667,,,,,,,,,0.208333,0.139758,,,,,,,6,,COMPUTED,,
