variant,breakdown,group,all_target_papers_at_10,all_target_papers_at_5,answerable_query_count,block_hit_at_1,block_hit_at_5,block_recall_at_10,block_recall_at_5,evidence_mrr,evidence_recall_at_10,evidence_recall_at_5,failure_count,max_top_score,mean_ms,mean_top_score,mrr,ndcg_at_10,nonempty_rate,note,p50_ms,p95_ms,query_count,returned_results_count,status,target_paper_coverage_at_10,target_paper_coverage_at_5
hash_structural_dense,scope,global,,,,,,,,,,,,,,,,,,,,,0,,NOT_APPLICABLE_NO_GLOBAL_ITEMS,,
hash_structural_dense,scope,paper,,,,0.0,0.065217,0.076087,0.032609,,,,,,,,0.030254,0.023605,,,,,46,,COMPUTED,,
hash_structural_dense,scope,multi_paper,1.0,1.0,,,,,,0.071429,0.1,0.0,,,,,,,,,,,2,,COMPUTED,1.0,1.0
hash_structural_dense,scope,unanswerable,,,,,,,,,,,,0.424264,,0.399628,,,1.0,Descriptive only; retrieval cannot determine answerability without a calibrated QA threshold.,,,2,2,,,
hash_structural_dense,scope,latency,,,,,,,,,,,0,,12.462,,,,,,6.861,50.185,50,,,,
hash_structural_dense,category,algorithm_steps,,,5,0.0,0.2,0.166667,0.066667,,,,,,,,0.07,0.06299,,,,,5,,COMPUTED,,
hash_structural_dense,category,experiment_results,,,4,0.0,0.25,0.041667,0.041667,,,,,,,,0.125,0.04773,,,,,4,,COMPUTED,,
hash_structural_dense,category,experiment_setup,,,5,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,,5,,COMPUTED,,
hash_structural_dense,category,limitations,,,7,0.0,0.0,0.214286,0.0,,,,,,,,0.041667,0.058833,,,,,7,,COMPUTED,,
hash_structural_dense,category,method,,,5,0.0,0.2,0.2,0.2,,,,,,,,0.05,0.033626,,,,,5,,COMPUTED,,
hash_structural_dense,category,multi_paper_comparison,,,2,0.0,0.0,0.1,0.0,,,,,,,,0.071429,0.056527,,,,,2,,COMPUTED,,
hash_structural_dense,category,paper_contributions,,,10,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,,10,,COMPUTED,,
hash_structural_dense,category,research_background,,,10,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,,10,,COMPUTED,,
hash_structural_dense,category,unanswerable,,,0,,,,,,,,,,,,,,,,,,0,,NOT_APPLICABLE,,
hash_structural_dense,difficulty,easy,,,18,0.0,0.055556,0.064815,0.009259,,,,,,,,0.040278,0.027622,,,,,18,,COMPUTED,,
hash_structural_dense,difficulty,hard,,,24,0.0,0.083333,0.063889,0.055556,,,,,,,,0.026786,0.020137,,,,,24,,COMPUTED,,
hash_structural_dense,difficulty,medium,,,6,0.0,0.0,0.166667,0.0,,,,,,,,0.027778,0.036401,,,,,6,,COMPUTED,,
hash_structural_hybrid,scope,global,,,,,,,,,,,,,,,,,,,,,0,,NOT_APPLICABLE_NO_GLOBAL_ITEMS,,
hash_structural_hybrid,scope,paper,,,,0.043478,0.130435,0.213768,0.063406,,,,,,,,0.096489,0.084401,,,,,46,,COMPUTED,,
hash_structural_hybrid,scope,multi_paper,1.0,1.0,,,,,,0.166667,0.3,0.3,,,,,,,,,,,2,,COMPUTED,1.0,1.0
hash_structural_hybrid,scope,unanswerable,,,,,,,,,,,,0.032002,,0.031774,,,1.0,Descriptive only; retrieval cannot determine answerability without a calibrated QA threshold.,,,2,2,,,
hash_structural_hybrid,scope,latency,,,,,,,,,,,0,,9.911,,,,,,7.112,46.206,50,,,,
hash_structural_hybrid,category,algorithm_steps,,,5,0.2,0.2,0.35,0.066667,,,,,,,,0.258333,0.198474,,,,,5,,COMPUTED,,
hash_structural_hybrid,category,experiment_results,,,4,0.0,0.0,0.041667,0.0,,,,,,,,0.03125,0.023865,,,,,4,,COMPUTED,,
hash_structural_hybrid,category,experiment_setup,,,5,0.0,0.2,0.4,0.2,,,,,,,,0.083333,0.064584,,,,,5,,COMPUTED,,
hash_structural_hybrid,category,limitations,,,7,0.142857,0.142857,0.511905,0.071429,,,,,,,,0.241043,0.208173,,,,,7,,COMPUTED,,
hash_structural_hybrid,category,method,,,5,0.0,0.0,0.05,0.0,,,,,,,,0.025,0.02463,,,,,5,,COMPUTED,,
hash_structural_hybrid,category,multi_paper_comparison,,,2,0.0,0.5,0.3,0.3,,,,,,,,0.166667,0.150393,,,,,2,,COMPUTED,,
hash_structural_hybrid,category,paper_contributions,,,10,0.0,0.1,0.025,0.025,,,,,,,,0.025,0.016813,,,,,10,,COMPUTED,,
hash_structural_hybrid,category,research_background,,,10,0.0,0.2,0.183333,0.083333,,,,,,,,0.054286,0.072321,,,,,10,,COMPUTED,,
hash_structural_hybrid,category,unanswerable,,,0,,,,,,,,,,,,,,,,,,0,,NOT_APPLICABLE,,
hash_structural_hybrid,difficulty,easy,,,18,0.055556,0.166667,0.138889,0.069444,,,,,,,,0.109325,0.090528,,,,,18,,COMPUTED,,
hash_structural_hybrid,difficulty,hard,,,24,0.041667,0.125,0.247222,0.080556,,,,,,,,0.101554,0.083572,,,,,24,,COMPUTED,,
hash_structural_hybrid,difficulty,medium,,,6,0.0,0.166667,0.333333,0.055556,,,,,,,,0.061111,0.091332,,,,,6,,COMPUTED,,
jina_structural_dense,scope,global,,,,,,,,,,,,,,,,,,,,,0,,NOT_APPLICABLE_NO_GLOBAL_ITEMS,,
jina_structural_dense,scope,paper,,,,0.086957,0.23913,0.227174,0.138406,,,,,,,,0.148033,0.102787,,,,,46,,COMPUTED,,
jina_structural_dense,scope,multi_paper,1.0,1.0,,,,,,0.222222,0.7,0.1,,,,,,,,,,,2,,COMPUTED,1.0,1.0
